fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,SkuNbr,ShipToCode,Issued Quantity
2015,7,APRIL,2770076,CD3P,760
2015,7,APRIL,4126023,3P,60
2015,7,APRIL,4772849,CD3P,2
2015,7,APRIL,6110143,3D,12
2015,7,APRIL,6167364,3D,140
2015,7,APRIL,6770464,CD3D,4
2015,7,APRIL,6770585,CD3D,2
2015,7,APRIL,6775305,CD3P,2
2015,7,APRIL,6779323,CD3D,1
2015,7,APRIL,2770015,CD3P,320
2015,7,APRIL,4116016,3P,182
2015,7,APRIL,4120012,3P,56
2015,7,APRIL,4120046,3P,80
2015,7,APRIL,4120075,3P,120
2015,7,APRIL,5176000,3P,90
2015,7,APRIL,6140028,3D,160
2015,7,APRIL,6160001,3D,780
2015,7,APRIL,6168064,3D,18
2015,7,APRIL,6181537,3D,108
2015,7,APRIL,6771000,CD3P,6
2015,7,APRIL,6771000,CD3P,8
2015,7,APRIL,6771000,CD3P,45
2015,7,APRIL,6771000,CD3P,100
2015,7,APRIL,6771000,CD3D,6
2015,7,APRIL,6771002,CD3D,2
2015,7,APRIL,6771273,CD3D,1
2015,7,APRIL,6772022,CD3D,1
2015,7,APRIL,6772301,CD3D,1
2015,7,APRIL,7771000,CD3P,1
2015,7,APRIL,9120006,3D,108
2015,7,APRIL,9120024,3D,27
2015,7,APRIL,9150062,3D,108
2015,7,APRIL,70339994,CD3L,12
2015,7,APRIL,70345054,CD3L,6
2015,7,APRIL,70346624,CD3L,24
2015,7,APRIL,70347924,CD3L,12
2015,7,APRIL,70350454,CD3L,12
2015,7,APRIL,70352604,CD3L,4
2015,7,APRIL,70445084,CD3L,24
2015,7,APRIL,70447504,CD3L,48
2015,7,APRIL,70559914,CD3L,12
2015,7,APRIL,70770904,CD3L,0
2015,7,APRIL,70776022,CD3L,12
2015,7,APRIL,70779896,CD3L,12
2015,7,APRIL,78770743,CD3L,4
2015,7,APRIL,79BL0040,3L,20
2015,7,APRIL,80770105,CD3M,1
2015,7,APRIL,81CN0075,CD3L,2
2015,7,APRIL,81CN0235,CD3L,1
2015,7,APRIL,83108904,CD3L,1
2015,7,APRIL,1770260,CD3P,30
2015,7,APRIL,1120220,3P,3142
2015,7,APRIL,1771001,CD3P,7
2015,7,APRIL,4125003,3P,70
2015,7,APRIL,4126024,3P,300
2015,7,APRIL,4771000,CD3P,1
2015,7,APRIL,4771000,CD3P,2
2015,7,APRIL,5110048,3P,340
2015,7,APRIL,6110128,3D,24
2015,7,APRIL,6110316,3P,5
2015,7,APRIL,6110320,3P,22
2015,7,APRIL,6771002,CD3D,2
2015,7,APRIL,6771537,CD3P,3
2015,7,APRIL,6772105,CD3D,4
2015,7,APRIL,6772257,CD3D,5
2015,7,APRIL,6779312,CD3D,2
2015,7,APRIL,1120013,3P,4490
2015,7,APRIL,4120050,3P,130
2015,7,APRIL,4125065,3P,120
2015,7,APRIL,4771000,CD3P,1
2015,7,APRIL,4772806,CD3P,5
2015,7,APRIL,4772853,CD3P,1
2015,7,APRIL,5110007,3P,899
2015,7,APRIL,5176006,3P,3200
2015,7,APRIL,6110029,3D,42
