fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,1,OCTOBER,195736,5110010,206
2015,1,OCTOBER,195736,5110076,258
2015,1,OCTOBER,287501,4116015,189
2015,1,OCTOBER,287501,4116016,280
2015,1,OCTOBER,364514,79BL0950,56
2015,1,OCTOBER,200362,80807365,2376
2015,1,OCTOBER,200515,79NR0456,100
2015,1,OCTOBER,505049,5120005,1920
2015,1,OCTOBER,751650,4120019,80
2015,1,OCTOBER,71990,4110001,432
2015,1,OCTOBER,192801,6110030,12
2015,1,OCTOBER,294773,2115050,144
2015,1,OCTOBER,295230,1150060,16348
2015,1,OCTOBER,359447,3140028,3000
2015,1,OCTOBER,364514,79CN0075,100
2015,1,OCTOBER,402059,6162515,30
2015,1,OCTOBER,418043,74745234,3072
2015,1,OCTOBER,421254,4126024,4450
2015,1,OCTOBER,422837,6160015,128
2015,1,OCTOBER,454231,5173057,2074
2015,1,OCTOBER,454231,5174000,990
2015,1,OCTOBER,5086,6160129,112
2015,1,OCTOBER,16898,1110062,3168
2015,1,OCTOBER,17743,5130032,240
2015,1,OCTOBER,17911,77115572,180
2015,1,OCTOBER,20586,9116069,1440
2015,1,OCTOBER,23088,6140030,20
2015,1,OCTOBER,74018,1170214,5994
2015,1,OCTOBER,76005,9169052,432
2015,1,OCTOBER,187101,4130094,408
2015,1,OCTOBER,187101,6160500,3570
2015,1,OCTOBER,200002,6160345,84
2015,1,OCTOBER,200362,6160330,5724
2015,1,OCTOBER,200362,6160446,396
2015,1,OCTOBER,200362,80807250,2640
2015,1,OCTOBER,200515,79BL0040,10
2015,1,OCTOBER,200515,79CN0175,100
2015,1,OCTOBER,200627,1127012,100
2015,1,OCTOBER,200679,4127042,6480
2015,1,OCTOBER,200728,6162512,44
2015,1,OCTOBER,200728,6164424,240
2015,1,OCTOBER,200728,6164449,66
2015,1,OCTOBER,201144,7161149,264
2015,1,OCTOBER,501084,6157800,60
2015,1,OCTOBER,751650,4125004,170
2015,2,NOVEMBER,192801,6110056,84
2015,2,NOVEMBER,333018,5140001,200
2015,2,NOVEMBER,378233,2110018,1260
2015,2,NOVEMBER,418043,70111296,600
2015,2,NOVEMBER,418043,77115694,113
2015,2,NOVEMBER,447495,10130004,80
2015,2,NOVEMBER,447495,10130007,200
2015,2,NOVEMBER,454231,5170018,59
2015,2,NOVEMBER,454231,5171000,1260
2015,2,NOVEMBER,454231,5173070,260
2015,2,NOVEMBER,7347,5140020,100
2015,2,NOVEMBER,17911,75754513,528
2015,2,NOVEMBER,17911,78786293,528
2015,2,NOVEMBER,19227,6169935,100
2015,2,NOVEMBER,23088,6142008,27
2015,2,NOVEMBER,59002,9150592,420
2015,2,NOVEMBER,200311,2115045,3360
2015,2,NOVEMBER,200311,2126000,49713
2015,2,NOVEMBER,200362,80807588,288
2015,2,NOVEMBER,200515,79BL0870,16
2015,2,NOVEMBER,200633,7160218,119
2015,2,NOVEMBER,200644,6160292,88
2015,2,NOVEMBER,200728,6164417,12
2015,2,NOVEMBER,201089,6160076,252
2015,2,NOVEMBER,201160,7160003,231
2015,2,NOVEMBER,501084,6164410,8
2015,2,NOVEMBER,192801,6110004,294
2015,2,NOVEMBER,192801,6110145,172
2015,2,NOVEMBER,277875,70120264,300
2015,2,NOVEMBER,277875,78786493,1056
2015,2,NOVEMBER,364514,79BL8880,408
2015,2,NOVEMBER,381195,6161641,296
2015,2,NOVEMBER,418043,70118494,144
2015,2,NOVEMBER,418043,71713124,12
2015,2,NOVEMBER,418043,73733543,60
2015,2,NOVEMBER,454231,5173056,280
2015,2,NOVEMBER,13348,6160033,140
2015,2,NOVEMBER,16898,1170205,1000
2015,2,NOVEMBER,17911,75754503,180
2015,2,NOVEMBER,17911,78786173,120
2015,2,NOVEMBER,22350,5150035,675
2015,2,NOVEMBER,22350,7161139,792
2015,2,NOVEMBER,23088,6142012,51
2015,2,NOVEMBER,23088,6148028,360
2015,2,NOVEMBER,48249,9164016,63
2015,2,NOVEMBER,67590,1161022,4000
2015,2,NOVEMBER,74018,1170211,2016
2015,2,NOVEMBER,200002,6163234,153
2015,2,NOVEMBER,200002,6164430,192
2015,2,NOVEMBER,200002,6168027,600
2015,2,NOVEMBER,200311,2115043,37656
2015,2,NOVEMBER,200362,80807564,96
2015,2,NOVEMBER,200373,6158009,144
2015,2,NOVEMBER,200515,79BL2380,208
2015,2,NOVEMBER,200515,79CN1475,25
2015,2,NOVEMBER,200587,6167082,360
2015,2,NOVEMBER,200730,6183628,25
2015,2,NOVEMBER,201089,6160078,560
2015,2,NOVEMBER,501084,5130008,3440
2015,2,NOVEMBER,501084,6110305,15
2015,3,DECEMBER,74425,6150140,100
2015,3,DECEMBER,192801,6117005,64
2015,3,DECEMBER,195736,5110010,1918
2015,3,DECEMBER,277875,70110011,1314
2015,3,DECEMBER,277875,70114164,420
2015,3,DECEMBER,277875,70121124,60
2015,3,DECEMBER,277875,71713074,120
2015,3,DECEMBER,364514,79BL7800,32
2015,3,DECEMBER,402183,1110004,955
2015,3,DECEMBER,418043,70114004,972
2015,3,DECEMBER,418043,74740294,72
2015,3,DECEMBER,17911,74744023,372
2015,3,DECEMBER,23447,4140080,400
2015,3,DECEMBER,31731,9160002,100
2015,3,DECEMBER,42948,6140131,396
2015,3,DECEMBER,76005,9150822,900
2015,3,DECEMBER,76005,9162020,120
2015,3,DECEMBER,187101,6160564,1050
2015,3,DECEMBER,200002,6140005,312
2015,3,DECEMBER,200002,6161635,16
2015,3,DECEMBER,200002,6163610,330
2015,3,DECEMBER,200002,6164431,192
2015,3,DECEMBER,200255,1120009,2010
2015,3,DECEMBER,200362,6160309,120
2015,3,DECEMBER,200362,6160335,432
2015,3,DECEMBER,200373,6159201,36
2015,3,DECEMBER,200520,4140119,1275
2015,3,DECEMBER,200585,5150057,420
2015,3,DECEMBER,200587,6167040,96
2015,3,DECEMBER,200633,7160244,272
2015,3,DECEMBER,200728,6164425,72
2015,3,DECEMBER,201144,7161150,216
2015,3,DECEMBER,455075,6168014,17
2015,3,DECEMBER,505049,5172013,1879
2015,3,DECEMBER,505049,5173003,432
2015,1,OCTOBER,71990,4116022,162
2015,1,OCTOBER,74425,6150056,50
2015,1,OCTOBER,277875,79BL0990,10
2015,1,OCTOBER,364514,79BL7040,24
2015,1,OCTOBER,418043,70116764,240
2015,1,OCTOBER,418043,76765043,102
2015,1,OCTOBER,456529,6161658,237
2015,1,OCTOBER,13812,6140062,350
2015,1,OCTOBER,31731,9160025,200
2015,1,OCTOBER,31731,9160042,90
2015,1,OCTOBER,67590,1120056,6902
2015,1,OCTOBER,67590,1160007,3996
2015,1,OCTOBER,200515,79BL7720,16
2015,1,OCTOBER,751650,4110038,648
2015,1,OCTOBER,74425,6159177,950
2015,1,OCTOBER,195736,5110059,300
